Copyright (c) James G. MacKinnon, 1999
ecmnc     8  8  7   30
-0.63270879E+01-0.32811367E+02-0.40944769E-01-0.76196448E-02 0.42247384E-02
-0.61627484E+01-0.28838278E+02-0.33461094E-01-0.52161817E-02 0.31813335E-02
-0.59402759E+01-0.23233156E+02-0.28194965E-01-0.34477159E-02 0.20750464E-02
-0.57575726E+01-0.19556091E+02-0.11988349E-01-0.35972703E-02 0.15332368E-02
-0.55651432E+01-0.16010338E+02 0.47450723E-02-0.37116840E-02 0.10679249E-02
-0.54471641E+01-0.13699060E+02 0.16856080E-02-0.29023973E-02 0.88496917E-03
-0.53599654E+01-0.12155512E+02 0.16978444E-02-0.26165048E-02 0.77632986E-03
-0.52906620E+01-0.10889330E+02-0.13898161E-02-0.20385343E-02 0.72723761E-03
-0.52329291E+01-0.98525308E+01-0.37477181E-02-0.17073676E-02 0.69231440E-03
-0.51832145E+01-0.89740640E+01-0.67343693E-02-0.13120781E-02 0.65764501E-03
-0.51390867E+01-0.82834121E+01-0.66583084E-02-0.12070940E-02 0.63396772E-03
-0.50993147E+01-0.76945782E+01-0.56127757E-02-0.13079926E-02 0.62438496E-03
-0.50634605E+01-0.71261475E+01-0.67506342E-02-0.11503905E-02 0.61600020E-03
-0.49206793E+01-0.49943888E+01-0.10616472E-01-0.65359695E-03 0.51306035E-03
-0.48140822E+01-0.34733234E+01-0.14745705E-01-0.20614167E-03 0.46666378E-03
-0.47278242E+01-0.23598885E+01-0.14812543E-01-0.24919254E-03 0.44341750E-03
-0.46548336E+01-0.15139264E+01-0.13482042E-01-0.39686726E-03 0.41297209E-03
-0.45911980E+01-0.72353996E+00-0.16390059E-01-0.13061402E-03 0.39181218E-03
-0.45344283E+01-0.76159328E-01-0.17409575E-01-0.77427797E-04 0.37053685E-03
-0.44831239E+01 0.47887088E+00-0.17310684E-01-0.12768154E-03 0.35866939E-03
-0.44362130E+01 0.98573526E+00-0.17897593E-01-0.12367427E-03 0.34470590E-03
-0.43928292E+01 0.14709263E+01-0.20085081E-01 0.34868594E-04 0.33380762E-03
-0.43524208E+01 0.18985077E+01-0.21578274E-01 0.13579555E-03 0.31717490E-03
-0.43146204E+01 0.23090565E+01-0.23260624E-01 0.23587655E-03 0.30284649E-03
-0.42788265E+01 0.26479550E+01-0.23504151E-01 0.21214767E-03 0.29722672E-03
-0.42450896E+01 0.30139032E+01-0.25777391E-01 0.38882296E-03 0.29472736E-03
-0.42129739E+01 0.33304254E+01-0.26421477E-01 0.39058858E-03 0.28824053E-03
-0.41822831E+01 0.36579832E+01-0.28668077E-01 0.55629031E-03 0.28559272E-03
-0.41529372E+01 0.39384404E+01-0.29709942E-01 0.61100297E-03 0.28063750E-03
-0.41246593E+01 0.42090130E+01-0.30795301E-01 0.65958798E-03 0.27406323E-03
-0.40974313E+01 0.44617207E+01-0.31957582E-01 0.73043769E-03 0.27048537E-03
-0.40711107E+01 0.46960529E+01-0.32812621E-01 0.77114607E-03 0.26733970E-03
-0.40456094E+01 0.49247090E+01-0.33845563E-01 0.82941985E-03 0.26401833E-03
-0.40209501E+01 0.51288157E+01-0.34210001E-01 0.82746666E-03 0.25588469E-03
-0.39971484E+01 0.53366317E+01-0.34951035E-01 0.85241194E-03 0.25154208E-03
-0.39739309E+01 0.55345889E+01-0.35847031E-01 0.90553174E-03 0.25060512E-03
-0.39513089E+01 0.57222644E+01-0.36716184E-01 0.96427928E-03 0.25183849E-03
-0.39292295E+01 0.59090381E+01-0.37715296E-01 0.10174582E-02 0.24705236E-03
-0.39077249E+01 0.60929512E+01-0.38920931E-01 0.11004535E-02 0.24099970E-03
-0.38866992E+01 0.62546283E+01-0.39398683E-01 0.11097945E-02 0.24088332E-03
-0.38661432E+01 0.64156267E+01-0.40122006E-01 0.11417368E-02 0.24109538E-03
-0.38459550E+01 0.65594441E+01-0.40446162E-01 0.11484105E-02 0.24028972E-03
-0.38262591E+01 0.67176534E+01-0.41347915E-01 0.11963055E-02 0.23936870E-03
-0.38068638E+01 0.68505072E+01-0.41496059E-01 0.11800521E-02 0.23759968E-03
-0.37878415E+01 0.69918357E+01-0.42244485E-01 0.12246608E-02 0.23666835E-03
-0.37691481E+01 0.71225452E+01-0.42611161E-01 0.12292540E-02 0.23231303E-03
-0.37507891E+01 0.72481506E+01-0.42950926E-01 0.12267539E-02 0.23132565E-03
-0.37327249E+01 0.73688841E+01-0.43223779E-01 0.12250050E-02 0.23071396E-03
-0.37149743E+01 0.74939047E+01-0.43770814E-01 0.12429270E-02 0.22928817E-03
-0.36975229E+01 0.76159099E+01-0.44340864E-01 0.12646782E-02 0.23086868E-03
-0.36802583E+01 0.77315403E+01-0.44861662E-01 0.12895852E-02 0.22821240E-03
-0.36632826E+01 0.78478550E+01-0.45445740E-01 0.13165443E-02 0.22547984E-03
-0.36465460E+01 0.79582763E+01-0.45892417E-01 0.13300357E-02 0.22680298E-03
-0.36300953E+01 0.80811594E+01-0.46830989E-01 0.13865168E-02 0.22518470E-03
-0.36137876E+01 0.81942960E+01-0.47614136E-01 0.14329968E-02 0.22173750E-03
-0.35977169E+01 0.83090566E+01-0.48479962E-01 0.14849113E-02 0.22338685E-03
-0.35818343E+01 0.84118614E+01-0.49002384E-01 0.15066674E-02 0.22203753E-03
-0.35660965E+01 0.85126028E+01-0.49522119E-01 0.15289000E-02 0.21846690E-03
-0.35505146E+01 0.86155461E+01-0.50314195E-01 0.15793365E-02 0.21804316E-03
-0.35350639E+01 0.87092690E+01-0.50778612E-01 0.16000987E-02 0.21638991E-03
-0.35198158E+01 0.88007334E+01-0.51132370E-01 0.16076149E-02 0.21628452E-03
-0.35047472E+01 0.88924744E+01-0.51556420E-01 0.16219161E-02 0.21717730E-03
-0.34897220E+01 0.89728001E+01-0.51693704E-01 0.16147086E-02 0.21695441E-03
-0.34749127E+01 0.90569667E+01-0.51909803E-01 0.16087612E-02 0.21575246E-03
-0.34601822E+01 0.91325893E+01-0.51949248E-01 0.15907573E-02 0.21396299E-03
-0.34456272E+01 0.92186283E+01-0.52381390E-01 0.16036578E-02 0.21395904E-03
-0.34311724E+01 0.92998518E+01-0.52736509E-01 0.16164534E-02 0.21262254E-03
-0.34168154E+01 0.93814790E+01-0.53177769E-01 0.16347182E-02 0.21124066E-03
-0.34025757E+01 0.94631736E+01-0.53638127E-01 0.16538586E-02 0.20918489E-03
-0.33883978E+01 0.95362328E+01-0.53908778E-01 0.16596723E-02 0.20821311E-03
-0.33743340E+01 0.96105391E+01-0.54252348E-01 0.16726384E-02 0.20751937E-03
-0.33603539E+01 0.96782130E+01-0.54362730E-01 0.16634726E-02 0.20753443E-03
-0.33464658E+01 0.97429851E+01-0.54481446E-01 0.16570519E-02 0.20634302E-03
-0.33327300E+01 0.98156505E+01-0.54777459E-01 0.16596096E-02 0.20347737E-03
-0.33190302E+01 0.98884103E+01-0.55287383E-01 0.16888069E-02 0.20412889E-03
-0.33054465E+01 0.99593272E+01-0.55670907E-01 0.17030760E-02 0.20686927E-03
-0.32918672E+01 0.10017948E+02-0.55664487E-01 0.16843322E-02 0.20936125E-03
-0.32784110E+01 0.10085362E+02-0.56001367E-01 0.16941565E-02 0.20757852E-03
-0.32650116E+01 0.10149724E+02-0.56275202E-01 0.16984403E-02 0.20945641E-03
-0.32517361E+01 0.10223184E+02-0.56919616E-01 0.17385164E-02 0.21070569E-03
-0.32384176E+01 0.10282476E+02-0.57094223E-01 0.17361898E-02 0.21000261E-03
-0.32251955E+01 0.10348548E+02-0.57569537E-01 0.17602673E-02 0.20993405E-03
-0.32120148E+01 0.10409544E+02-0.57932927E-01 0.17775828E-02 0.20978385E-03
-0.31989408E+01 0.10477161E+02-0.58464392E-01 0.18045754E-02 0.20924633E-03
-0.31858588E+01 0.10535787E+02-0.58786331E-01 0.18180594E-02 0.20879323E-03
-0.31728954E+01 0.10601660E+02-0.59271272E-01 0.18377401E-02 0.20748073E-03
-0.31599715E+01 0.10667836E+02-0.59834278E-01 0.18689532E-02 0.20893018E-03
-0.31470610E+01 0.10725423E+02-0.60098406E-01 0.18730775E-02 0.20931576E-03
-0.31341410E+01 0.10778343E+02-0.60332470E-01 0.18819268E-02 0.20959874E-03
-0.31213118E+01 0.10841702E+02-0.60878941E-01 0.19134860E-02 0.21175151E-03
-0.31084959E+01 0.10897764E+02-0.61088183E-01 0.19092135E-02 0.21086731E-03
-0.30957028E+01 0.10953834E+02-0.61489675E-01 0.19328304E-02 0.20799310E-03
-0.30829443E+01 0.11008480E+02-0.61825415E-01 0.19482284E-02 0.20764349E-03
-0.30701968E+01 0.11058250E+02-0.61988744E-01 0.19472664E-02 0.20665538E-03
-0.30574900E+01 0.11109397E+02-0.62263166E-01 0.19550673E-02 0.20792891E-03
-0.30448142E+01 0.11167109E+02-0.62807848E-01 0.19888327E-02 0.20623276E-03
-0.30321644E+01 0.11223302E+02-0.63315646E-01 0.20180363E-02 0.20442017E-03
-0.30194919E+01 0.11269032E+02-0.63414786E-01 0.20089018E-02 0.20477461E-03
-0.30068581E+01 0.11319227E+02-0.63763889E-01 0.20268794E-02 0.20451530E-03
-0.29942642E+01 0.11368922E+02-0.64095650E-01 0.20430037E-02 0.20487790E-03
-0.29816512E+01 0.11418027E+02-0.64450173E-01 0.20595849E-02 0.20469272E-03
-0.29690651E+01 0.11470804E+02-0.64989393E-01 0.20954418E-02 0.20188152E-03
-0.29565265E+01 0.11530235E+02-0.65745990E-01 0.21479440E-02 0.20202058E-03
-0.29439926E+01 0.11577853E+02-0.65990523E-01 0.21514304E-02 0.20111782E-03
-0.29314117E+01 0.11621557E+02-0.66190666E-01 0.21534064E-02 0.20087875E-03
-0.29188517E+01 0.11673714E+02-0.66767571E-01 0.21923492E-02 0.20166863E-03
-0.29062956E+01 0.11726862E+02-0.67356758E-01 0.22307701E-02 0.20381581E-03
-0.28937735E+01 0.11776116E+02-0.67764029E-01 0.22496915E-02 0.20376013E-03
-0.28812372E+01 0.11823305E+02-0.68116753E-01 0.22647178E-02 0.20292067E-03
-0.28686558E+01 0.11866296E+02-0.68347052E-01 0.22686328E-02 0.20372285E-03
-0.28560514E+01 0.11909150E+02-0.68673618E-01 0.22863037E-02 0.20341569E-03
-0.28433990E+01 0.11949827E+02-0.68915038E-01 0.22932610E-02 0.20714886E-03
-0.28307564E+01 0.11987206E+02-0.69021784E-01 0.22894650E-02 0.20606188E-03
-0.28181218E+01 0.12033802E+02-0.69601731E-01 0.23346021E-02 0.20581309E-03
-0.28054644E+01 0.12072877E+02-0.69774210E-01 0.23353346E-02 0.20485943E-03
-0.27928321E+01 0.12121584E+02-0.70308863E-01 0.23653093E-02 0.20491359E-03
-0.27801326E+01 0.12165085E+02-0.70753063E-01 0.23927817E-02 0.20422134E-03
-0.27674280E+01 0.12205225E+02-0.71046135E-01 0.24037221E-02 0.20494753E-03
-0.27547113E+01 0.12246593E+02-0.71365514E-01 0.24171195E-02 0.20594362E-03
-0.27419867E+01 0.12294827E+02-0.71907469E-01 0.24484162E-02 0.20410712E-03
-0.27292125E+01 0.12335997E+02-0.72253567E-01 0.24625158E-02 0.20335090E-03
-0.27164314E+01 0.12383846E+02-0.72864364E-01 0.25028665E-02 0.20462619E-03
-0.27036052E+01 0.12433272E+02-0.73590901E-01 0.25557901E-02 0.20544510E-03
-0.26907045E+01 0.12466927E+02-0.73671811E-01 0.25505599E-02 0.20648767E-03
-0.26777321E+01 0.12495988E+02-0.73626784E-01 0.25331416E-02 0.20742197E-03
-0.26647976E+01 0.12537555E+02-0.74031344E-01 0.25550414E-02 0.20789314E-03
-0.26518066E+01 0.12576494E+02-0.74301555E-01 0.25605939E-02 0.20619633E-03
-0.26387140E+01 0.12612299E+02-0.74627325E-01 0.25788851E-02 0.20844333E-03
-0.26255899E+01 0.12645275E+02-0.74805341E-01 0.25807651E-02 0.20817094E-03
-0.26124084E+01 0.12673073E+02-0.74782974E-01 0.25681106E-02 0.20856189E-03
-0.25991708E+01 0.12705244E+02-0.74977588E-01 0.25762511E-02 0.20837503E-03
-0.25859317E+01 0.12746439E+02-0.75447700E-01 0.26032911E-02 0.20782048E-03
-0.25726288E+01 0.12788800E+02-0.75963478E-01 0.26345252E-02 0.20806320E-03
-0.25592905E+01 0.12831243E+02-0.76502312E-01 0.26667118E-02 0.20815949E-03
-0.25458667E+01 0.12866460E+02-0.76793257E-01 0.26791210E-02 0.21037808E-03
-0.25323403E+01 0.12891989E+02-0.76673802E-01 0.26505870E-02 0.21096783E-03
-0.25187321E+01 0.12922706E+02-0.76942695E-01 0.26656255E-02 0.21300493E-03
-0.25051029E+01 0.12959091E+02-0.77350539E-01 0.26896085E-02 0.21257615E-03
-0.24913313E+01 0.12988196E+02-0.77576420E-01 0.26992033E-02 0.21108093E-03
-0.24775574E+01 0.13022951E+02-0.77848573E-01 0.27075182E-02 0.21095788E-03
-0.24636643E+01 0.13052990E+02-0.77978814E-01 0.27028440E-02 0.20845791E-03
-0.24496487E+01 0.13078702E+02-0.78061294E-01 0.26981384E-02 0.20916544E-03
-0.24355252E+01 0.13098410E+02-0.77869507E-01 0.26682071E-02 0.21039813E-03
-0.24213982E+01 0.13136141E+02-0.78389270E-01 0.27022150E-02 0.20944790E-03
-0.24071297E+01 0.13168864E+02-0.78634835E-01 0.27075726E-02 0.20894187E-03
-0.23927638E+01 0.13201315E+02-0.79061510E-01 0.27363703E-02 0.20962656E-03
-0.23782871E+01 0.13232270E+02-0.79404767E-01 0.27565315E-02 0.20957298E-03
-0.23637041E+01 0.13263097E+02-0.79702504E-01 0.27710646E-02 0.20915564E-03
-0.23489960E+01 0.13289796E+02-0.79905083E-01 0.27811061E-02 0.20810555E-03
-0.23341903E+01 0.13318667E+02-0.80235033E-01 0.28019902E-02 0.20841222E-03
-0.23192856E+01 0.13355930E+02-0.80885723E-01 0.28506794E-02 0.20999721E-03
-0.23041730E+01 0.13375938E+02-0.80873104E-01 0.28387570E-02 0.20956907E-03
-0.22889580E+01 0.13401677E+02-0.81027535E-01 0.28396328E-02 0.21131183E-03
-0.22736167E+01 0.13430798E+02-0.81360786E-01 0.28560070E-02 0.21051905E-03
-0.22581500E+01 0.13461868E+02-0.81882329E-01 0.28961209E-02 0.20965498E-03
-0.22425333E+01 0.13484852E+02-0.81986395E-01 0.28932890E-02 0.21221064E-03
-0.22267370E+01 0.13514659E+02-0.82435643E-01 0.29276206E-02 0.21360094E-03
-0.22107007E+01 0.13535596E+02-0.82499272E-01 0.29202078E-02 0.21379422E-03
