Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.61346569E+01-0.32942035E+02 0.17254147E-02-0.11037603E-01 0.45870501E-02
-0.59718061E+01-0.29000332E+02 0.69299044E-02-0.95000433E-02 0.32721488E-02
-0.57506631E+01-0.23354756E+02 0.48154654E-02-0.71502690E-02 0.21839082E-02
-0.55681886E+01-0.19744866E+02 0.68624297E-02-0.49812082E-02 0.17017455E-02
-0.53751892E+01-0.16325954E+02 0.16575103E-01-0.44954515E-02 0.12900059E-02
-0.52569923E+01-0.14245182E+02 0.17812482E-01-0.40613171E-02 0.10403016E-02
-0.51709394E+01-0.12668319E+02 0.15078362E-01-0.35732003E-02 0.88779091E-03
-0.51024536E+01-0.11452999E+02 0.12699815E-01-0.31793010E-02 0.83132661E-03
-0.50446086E+01-0.10567619E+02 0.14638575E-01-0.32520106E-02 0.76868439E-03
-0.49953169E+01-0.97117894E+01 0.12497316E-01-0.30037973E-02 0.70901545E-03
-0.49512838E+01-0.89959823E+01 0.88483455E-02-0.24464740E-02 0.67450152E-03
-0.49121183E+01-0.83865010E+01 0.85250964E-02-0.24007522E-02 0.62378654E-03
-0.48766504E+01-0.78090726E+01 0.56266947E-02-0.20493275E-02 0.57837394E-03
-0.47340234E+01-0.58149632E+01 0.36303715E-02-0.17376616E-02 0.49312731E-03
-0.46277285E+01-0.43960295E+01 0.99853705E-03-0.14424945E-02 0.46105109E-03
-0.45417816E+01-0.33262081E+01-0.90677343E-03-0.12951521E-02 0.42328473E-03
-0.44688704E+01-0.24928674E+01-0.13611414E-02-0.12546806E-02 0.39111709E-03
-0.44054731E+01-0.17434932E+01-0.46389857E-02-0.88614278E-03 0.36859409E-03
-0.43489647E+01-0.11239990E+01-0.57520016E-02-0.81724764E-03 0.35933903E-03
-0.42977745E+01-0.61857372E+00-0.55280899E-02-0.85837273E-03 0.34991649E-03
-0.42509239E+01-0.15156720E+00-0.60789758E-02-0.84081498E-03 0.33145687E-03
-0.42077300E+01 0.29605177E+00-0.76876609E-02-0.72580122E-03 0.31801269E-03
-0.41674061E+01 0.66656366E+00-0.75844392E-02-0.78801615E-03 0.30973993E-03
-0.41298453E+01 0.10476032E+01-0.90360095E-02-0.68255507E-03 0.30490886E-03
-0.40942476E+01 0.13895944E+01-0.10381851E-01-0.57781414E-03 0.29884445E-03
-0.40605951E+01 0.17179448E+01-0.12176732E-01-0.41152111E-03 0.29216808E-03
-0.40286041E+01 0.20350550E+01-0.13764676E-01-0.31532377E-03 0.28429315E-03
-0.39980028E+01 0.23071015E+01-0.14381955E-01-0.29270083E-03 0.27699885E-03
-0.39687372E+01 0.25790332E+01-0.16083147E-01-0.14555162E-03 0.26809565E-03
-0.39405228E+01 0.28149887E+01-0.16561729E-01-0.13967229E-03 0.26414451E-03
-0.39133511E+01 0.30437573E+01-0.17647906E-01-0.44586801E-04 0.25795747E-03
-0.38871212E+01 0.32587175E+01-0.18107337E-01-0.50524817E-04 0.25634363E-03
-0.38617885E+01 0.34645503E+01-0.18719320E-01-0.22391088E-04 0.25485486E-03
-0.38372562E+01 0.36604571E+01-0.19573150E-01 0.35075867E-04 0.25225742E-03
-0.38134513E+01 0.38576429E+01-0.20431372E-01 0.73928165E-04 0.25002848E-03
-0.37903136E+01 0.40476091E+01-0.21677829E-01 0.17597402E-03 0.24654600E-03
-0.37677620E+01 0.42265464E+01-0.22563846E-01 0.23236327E-03 0.24756864E-03
-0.37457379E+01 0.43886713E+01-0.23105896E-01 0.26095920E-03 0.24737144E-03
-0.37242484E+01 0.45460171E+01-0.23685638E-01 0.28633447E-03 0.24060505E-03
-0.37033855E+01 0.47156554E+01-0.24750148E-01 0.35804878E-03 0.23070664E-03
-0.36829493E+01 0.48705809E+01-0.25480185E-01 0.38672084E-03 0.22755416E-03
-0.36629162E+01 0.50232282E+01-0.26447889E-01 0.45297766E-03 0.22314185E-03
-0.36432779E+01 0.51621517E+01-0.27118255E-01 0.50063263E-03 0.22283766E-03
-0.36239682E+01 0.52858242E+01-0.27275064E-01 0.48469178E-03 0.22450560E-03
-0.36050161E+01 0.54221227E+01-0.28166800E-01 0.54945920E-03 0.22647641E-03
-0.35864572E+01 0.55502878E+01-0.28824872E-01 0.59004045E-03 0.22660229E-03
-0.35681407E+01 0.56648065E+01-0.29129201E-01 0.59331713E-03 0.22818077E-03
-0.35501757E+01 0.57854537E+01-0.29742900E-01 0.62763142E-03 0.22543475E-03
-0.35325336E+01 0.59054417E+01-0.30392362E-01 0.66608782E-03 0.22372102E-03
-0.35151326E+01 0.60281600E+01-0.31428931E-01 0.74483834E-03 0.22273937E-03
-0.34980174E+01 0.61453536E+01-0.32196285E-01 0.79091592E-03 0.21864749E-03
-0.34811477E+01 0.62550098E+01-0.32803649E-01 0.82652411E-03 0.21886931E-03
-0.34644037E+01 0.63533080E+01-0.33145193E-01 0.83718815E-03 0.21795296E-03
-0.34479632E+01 0.64573758E+01-0.33813653E-01 0.88754082E-03 0.21717139E-03
-0.34316709E+01 0.65473948E+01-0.33917235E-01 0.87086107E-03 0.21537369E-03
-0.34155321E+01 0.66362329E+01-0.34126675E-01 0.87137011E-03 0.21222787E-03
-0.33996431E+01 0.67282755E+01-0.34350299E-01 0.86001844E-03 0.21073610E-03
-0.33839276E+01 0.68242808E+01-0.35000602E-01 0.90226082E-03 0.20860047E-03
-0.33683901E+01 0.69183302E+01-0.35690649E-01 0.94705512E-03 0.20794522E-03
-0.33530261E+01 0.69951832E+01-0.35574708E-01 0.90376119E-03 0.20869886E-03
-0.33378341E+01 0.70827477E+01-0.36077340E-01 0.93255704E-03 0.21313065E-03
-0.33227473E+01 0.71654483E+01-0.36605254E-01 0.97315031E-03 0.21572108E-03
-0.33077468E+01 0.72359760E+01-0.36621377E-01 0.95468571E-03 0.21474912E-03
-0.32929158E+01 0.73190425E+01-0.37288829E-01 0.10044675E-02 0.21686703E-03
-0.32782111E+01 0.73902883E+01-0.37373834E-01 0.99099519E-03 0.21454915E-03
-0.32636719E+01 0.74676662E+01-0.37829011E-01 0.10164249E-02 0.21448556E-03
