Copyright (c) James G. MacKinnon, 1999
ecmnc     6  6  7   25
-0.59363408E+01-0.30761520E+02-0.45350701E-01-0.59184858E-02 0.41072180E-02
-0.57743140E+01-0.27164512E+02-0.25087776E-01-0.56469050E-02 0.31574237E-02
-0.55480435E+01-0.22012713E+02-0.33313780E-01-0.23038532E-02 0.20641771E-02
-0.53681019E+01-0.18522885E+02-0.25663125E-01-0.17133806E-02 0.16307078E-02
-0.51766706E+01-0.15233120E+02-0.14509360E-01-0.15057168E-02 0.12156014E-02
-0.50573902E+01-0.13591476E+02-0.24181681E-02-0.19043901E-02 0.97861258E-03
-0.49709856E+01-0.12191364E+02-0.16712278E-02-0.16954120E-02 0.83771323E-03
-0.49023214E+01-0.11041417E+02-0.45322067E-02-0.12417762E-02 0.74553615E-03
-0.48444234E+01-0.10234570E+02-0.22738638E-02-0.12982613E-02 0.70603449E-03
-0.47947396E+01-0.95210590E+01-0.20425184E-02-0.12245755E-02 0.67162061E-03
-0.47507666E+01-0.89007311E+01-0.21181763E-02-0.10987871E-02 0.63778316E-03
-0.47114389E+01-0.83849504E+01-0.98118245E-03-0.11404112E-02 0.61246497E-03
-0.46757527E+01-0.79031113E+01-0.40124471E-03-0.11507459E-02 0.57812763E-03
-0.45338782E+01-0.60458642E+01-0.17083318E-02-0.90208449E-03 0.48823144E-03
-0.44278541E+01-0.48070402E+01-0.23577340E-03-0.97545930E-03 0.42901140E-03
-0.43420797E+01-0.38549542E+01-0.43937174E-03-0.92867486E-03 0.40608476E-03
-0.42698208E+01-0.30631364E+01-0.16177995E-02-0.78699461E-03 0.38766198E-03
-0.42068144E+01-0.23919149E+01-0.26346384E-02-0.69292683E-03 0.38313931E-03
-0.41507177E+01-0.17962455E+01-0.44191951E-02-0.54255421E-03 0.36201066E-03
-0.40996291E+01-0.13175744E+01-0.49053960E-02-0.49997904E-03 0.34219542E-03
-0.40530603E+01-0.87670185E+00-0.56182107E-02-0.45795280E-03 0.33072155E-03
-0.40101361E+01-0.45829205E+00-0.69388894E-02-0.36440073E-03 0.33101749E-03
-0.39700681E+01-0.83215508E-01-0.81636275E-02-0.26706119E-03 0.32164168E-03
-0.39324202E+01 0.25675054E+00-0.94051224E-02-0.16102590E-03 0.30822511E-03
-0.38969490E+01 0.54939897E+00-0.96058228E-02-0.15562137E-03 0.29903569E-03
-0.38632763E+01 0.83013031E+00-0.10271233E-01-0.12138462E-03 0.28887738E-03
-0.38311713E+01 0.10865228E+01-0.10719842E-01-0.10356452E-03 0.28779508E-03
-0.38006054E+01 0.13192999E+01-0.10741387E-01-0.12315182E-03 0.28276081E-03
-0.37714441E+01 0.15706886E+01-0.12015101E-01-0.36826307E-04 0.27739684E-03
-0.37434411E+01 0.18035487E+01-0.13077360E-01 0.33747772E-04 0.27310888E-03
-0.37164176E+01 0.20270931E+01-0.14217950E-01 0.10651645E-03 0.26454957E-03
-0.36903317E+01 0.22354272E+01-0.15156287E-01 0.16367044E-03 0.26046728E-03
-0.36651083E+01 0.24213236E+01-0.15719040E-01 0.19547855E-03 0.26051347E-03
-0.36406240E+01 0.25885824E+01-0.15829832E-01 0.18769662E-03 0.25799702E-03
-0.36168134E+01 0.27435529E+01-0.15915124E-01 0.18077385E-03 0.25765045E-03
-0.35936873E+01 0.28986365E+01-0.16142100E-01 0.18426897E-03 0.25250288E-03
-0.35712800E+01 0.30555542E+01-0.16701004E-01 0.21353492E-03 0.24800960E-03
-0.35494168E+01 0.32168050E+01-0.17607112E-01 0.26675599E-03 0.24438169E-03
-0.35281124E+01 0.33695702E+01-0.18386301E-01 0.31197757E-03 0.24124586E-03
-0.35072110E+01 0.35017709E+01-0.18594061E-01 0.30580422E-03 0.23868821E-03
-0.34868282E+01 0.36431959E+01-0.19364827E-01 0.35105004E-03 0.23789402E-03
-0.34668457E+01 0.37815328E+01-0.20148051E-01 0.39956979E-03 0.23744011E-03
-0.34472575E+01 0.38984913E+01-0.20308096E-01 0.39536508E-03 0.23587420E-03
-0.34280345E+01 0.40146820E+01-0.20563325E-01 0.39619017E-03 0.23307693E-03
-0.34091742E+01 0.41274389E+01-0.20779226E-01 0.39467023E-03 0.22901163E-03
-0.33907266E+01 0.42514500E+01-0.21523852E-01 0.43674101E-03 0.22707771E-03
-0.33725207E+01 0.43650045E+01-0.22104397E-01 0.47151016E-03 0.22891134E-03
-0.33546245E+01 0.44704922E+01-0.22460086E-01 0.48605796E-03 0.23135106E-03
-0.33369383E+01 0.45618657E+01-0.22548698E-01 0.48299706E-03 0.22963822E-03
-0.33195863E+01 0.46683123E+01-0.23190835E-01 0.52348252E-03 0.22904909E-03
-0.33024454E+01 0.47591140E+01-0.23324447E-01 0.51667764E-03 0.22976189E-03
-0.32856017E+01 0.48615679E+01-0.24028617E-01 0.56048814E-03 0.22783963E-03
-0.32689325E+01 0.49497315E+01-0.24289158E-01 0.56787601E-03 0.22587825E-03
-0.32525035E+01 0.50444569E+01-0.24824239E-01 0.59752569E-03 0.22566387E-03
-0.32362404E+01 0.51205048E+01-0.24788486E-01 0.58119708E-03 0.22251074E-03
-0.32201493E+01 0.51960925E+01-0.24932068E-01 0.58296939E-03 0.22434842E-03
-0.32042754E+01 0.52719256E+01-0.25059057E-01 0.58062362E-03 0.22692207E-03
-0.31886036E+01 0.53456456E+01-0.25035708E-01 0.55865002E-03 0.22464831E-03
-0.31730863E+01 0.54185124E+01-0.25180675E-01 0.55906204E-03 0.22300221E-03
-0.31577662E+01 0.54956426E+01-0.25457587E-01 0.56728551E-03 0.22444502E-03
-0.31425517E+01 0.55645662E+01-0.25530655E-01 0.55971903E-03 0.21969308E-03
-0.31275497E+01 0.56439829E+01-0.26014606E-01 0.58628065E-03 0.21838441E-03
-0.31126883E+01 0.57122992E+01-0.26076635E-01 0.57453151E-03 0.21756861E-03
-0.30978887E+01 0.57761733E+01-0.26069787E-01 0.55737245E-03 0.21560518E-03
-0.30832223E+01 0.58458024E+01-0.26396738E-01 0.57229687E-03 0.21428727E-03
-0.30686629E+01 0.59100098E+01-0.26718193E-01 0.59250418E-03 0.21278649E-03
-0.30542501E+01 0.59769882E+01-0.27119126E-01 0.61718070E-03 0.21313237E-03
-0.30399112E+01 0.60357354E+01-0.27216874E-01 0.61537611E-03 0.21182026E-03
-0.30256789E+01 0.60913401E+01-0.27180014E-01 0.59925985E-03 0.21195139E-03
-0.30116588E+01 0.61588299E+01-0.27626078E-01 0.62603091E-03 0.21129421E-03
-0.29977260E+01 0.62197128E+01-0.27775770E-01 0.62478795E-03 0.21125527E-03
-0.29838419E+01 0.62828567E+01-0.28114809E-01 0.63919114E-03 0.20943667E-03
-0.29700784E+01 0.63517520E+01-0.28770126E-01 0.68488499E-03 0.20690689E-03
-0.29563386E+01 0.64055367E+01-0.28926654E-01 0.68757067E-03 0.20780483E-03
-0.29426778E+01 0.64572570E+01-0.28959056E-01 0.67589888E-03 0.20520337E-03
-0.29291215E+01 0.65074993E+01-0.28990141E-01 0.66447900E-03 0.20502201E-03
-0.29155891E+01 0.65602372E+01-0.29295232E-01 0.68363955E-03 0.20703582E-03
-0.29021601E+01 0.66103952E+01-0.29389863E-01 0.68072260E-03 0.20736642E-03
-0.28887880E+01 0.66649911E+01-0.29709329E-01 0.69652202E-03 0.20544525E-03
-0.28754784E+01 0.67153104E+01-0.29989267E-01 0.71164111E-03 0.20399567E-03
-0.28622569E+01 0.67676547E+01-0.30244412E-01 0.72069829E-03 0.20353408E-03
-0.28491053E+01 0.68178066E+01-0.30481961E-01 0.73056725E-03 0.20544756E-03
-0.28360706E+01 0.68787267E+01-0.31075593E-01 0.76865744E-03 0.20364979E-03
-0.28230056E+01 0.69259691E+01-0.31209032E-01 0.76748492E-03 0.20091801E-03
-0.28100069E+01 0.69771100E+01-0.31515388E-01 0.78198067E-03 0.20059414E-03
-0.27970385E+01 0.70307753E+01-0.31987950E-01 0.81245380E-03 0.20037625E-03
-0.27841493E+01 0.70849667E+01-0.32491443E-01 0.84618016E-03 0.20108857E-03
-0.27713007E+01 0.71381921E+01-0.32959646E-01 0.87352458E-03 0.19914457E-03
