Copyright (c) James G. MacKinnon, 1999
ecmnc     1  1  6   20
-0.44831649E+01-0.17616219E+02-0.60059684E-01 0.33755149E-02
-0.43198870E+01-0.15265580E+02-0.51153104E-01 0.24836381E-02
-0.40897073E+01-0.12511088E+02-0.35748861E-01 0.17313729E-02
-0.39065642E+01-0.10574815E+02-0.26436036E-01 0.12226353E-02
-0.37121503E+01-0.87486790E+01-0.18056724E-01 0.89540460E-03
-0.35936348E+01-0.76741582E+01-0.14747516E-01 0.78367590E-03
-0.35065278E+01-0.69246005E+01-0.12463472E-01 0.66419466E-03
-0.34373042E+01-0.63583454E+01-0.11301175E-01 0.59427533E-03
-0.33792357E+01-0.59451624E+01-0.96053302E-02 0.57853164E-03
-0.33291793E+01-0.55941722E+01-0.84898984E-02 0.53341902E-03
-0.32852042E+01-0.53103924E+01-0.72145592E-02 0.51381116E-03
-0.32459569E+01-0.50070848E+01-0.72158770E-02 0.50500851E-03
-0.32103571E+01-0.47683318E+01-0.66179774E-02 0.47912823E-03
-0.30687709E+01-0.38787903E+01-0.47240382E-02 0.41445945E-03
-0.29631981E+01-0.32742509E+01-0.41589626E-02 0.35693384E-03
-0.28786399E+01-0.28088975E+01-0.35982811E-02 0.34300705E-03
-0.28072341E+01-0.24312575E+01-0.35164897E-02 0.31494093E-03
-0.27449927E+01-0.21430347E+01-0.32008639E-02 0.30018364E-03
-0.26895389E+01-0.18951437E+01-0.30986764E-02 0.27581794E-03
-0.26394930E+01-0.16892094E+01-0.27639039E-02 0.26189363E-03
-0.25938240E+01-0.14978921E+01-0.27260956E-02 0.25171009E-03
-0.25516001E+01-0.13285361E+01-0.26682481E-02 0.24285706E-03
-0.25121195E+01-0.12014136E+01-0.22408137E-02 0.23993615E-03
-0.24752725E+01-0.10678730E+01-0.21593542E-02 0.24015688E-03
-0.24406189E+01-0.94170221E+00-0.22127342E-02 0.22923942E-03
-0.24077662E+01-0.82831722E+00-0.22789354E-02 0.22613613E-03
-0.23765631E+01-0.71882829E+00-0.25170170E-02 0.22210030E-03
-0.23466270E+01-0.63622079E+00-0.22974744E-02 0.21870417E-03
-0.23181329E+01-0.55133591E+00-0.21630031E-02 0.21917691E-03
-0.22907123E+01-0.47217722E+00-0.21111565E-02 0.21126547E-03
-0.22643519E+01-0.39172955E+00-0.21891028E-02 0.20715623E-03
-0.22389857E+01-0.32338554E+00-0.20268723E-02 0.20385389E-03
-0.22143392E+01-0.25853551E+00-0.19525996E-02 0.20223638E-03
-0.21905056E+01-0.19926612E+00-0.18746044E-02 0.20089008E-03
-0.21673822E+01-0.14074703E+00-0.19094172E-02 0.19809028E-03
-0.21449728E+01-0.85607935E-01-0.18972136E-02 0.19732291E-03
-0.21231255E+01-0.29190077E-01-0.20144960E-02 0.19506554E-03
-0.21018359E+01 0.16712559E-01-0.19036874E-02 0.19434695E-03
-0.20810110E+01 0.61218050E-01-0.18870453E-02 0.19344082E-03
-0.20607429E+01 0.11126380E+00-0.19813277E-02 0.19387769E-03
-0.20408622E+01 0.15263831E+00-0.19544486E-02 0.19176493E-03
-0.20214607E+01 0.19500808E+00-0.19856015E-02 0.19286036E-03
-0.20024356E+01 0.23287426E+00-0.19310528E-02 0.19451762E-03
-0.19837714E+01 0.26688479E+00-0.18573232E-02 0.19346305E-03
-0.19654370E+01 0.29933336E+00-0.18028945E-02 0.19198804E-03
-0.19474531E+01 0.33319737E+00-0.18096227E-02 0.19001494E-03
-0.19297685E+01 0.36673016E+00-0.18246961E-02 0.18601077E-03
-0.19123414E+01 0.39610474E+00-0.18087414E-02 0.18517913E-03
-0.18952772E+01 0.42912756E+00-0.18468784E-02 0.18294832E-03
-0.18783795E+01 0.45625780E+00-0.18214803E-02 0.18260783E-03
-0.18617464E+01 0.48383000E+00-0.18408379E-02 0.18465982E-03
-0.18453150E+01 0.50872061E+00-0.18366759E-02 0.18296480E-03
-0.18292004E+01 0.53944573E+00-0.19092376E-02 0.18168000E-03
-0.18132744E+01 0.56798896E+00-0.19792387E-02 0.18023936E-03
-0.17974402E+01 0.58567073E+00-0.18973180E-02 0.18040344E-03
-0.17818493E+01 0.60889332E+00-0.19227900E-02 0.17956578E-03
-0.17664441E+01 0.63055220E+00-0.19128739E-02 0.17667109E-03
-0.17511797E+01 0.65151731E+00-0.19110546E-02 0.17620305E-03
-0.17360872E+01 0.67291849E+00-0.19487047E-02 0.17456961E-03
-0.17211738E+01 0.69696886E+00-0.20002489E-02 0.17179341E-03
-0.17063642E+01 0.71304982E+00-0.19523338E-02 0.17247653E-03
-0.16917383E+01 0.73634475E+00-0.20343079E-02 0.17128894E-03
-0.16772248E+01 0.75329864E+00-0.20168218E-02 0.16988089E-03
-0.16628901E+01 0.77360534E+00-0.20454368E-02 0.16926932E-03
-0.16485690E+01 0.78856821E+00-0.20324179E-02 0.16881867E-03
-0.16344597E+01 0.80843689E+00-0.20792543E-02 0.16916915E-03
-0.16204127E+01 0.82692589E+00-0.21236596E-02 0.16973538E-03
-0.16064421E+01 0.84313242E+00-0.21488249E-02 0.16847810E-03
-0.15925942E+01 0.85978880E+00-0.22073644E-02 0.16619619E-03
-0.15788316E+01 0.87330864E+00-0.21969199E-02 0.16622815E-03
-0.15651483E+01 0.88597913E+00-0.21814997E-02 0.16405047E-03
-0.15515164E+01 0.89864670E+00-0.22014191E-02 0.16434985E-03
-0.15379927E+01 0.91356332E+00-0.22504727E-02 0.16342520E-03
-0.15245089E+01 0.92593719E+00-0.22702025E-02 0.16425512E-03
